,CustomerId,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
0,15634602,2,0.0,1,1,1,1
1,15647311,1,83807.86,1,0,1,0
2,15619304,8,159660.8,3,1,0,1
3,15701354,1,0.0,2,0,0,0
4,15737888,2,125510.82,1,1,1,0
5,15574012,8,113755.78,2,1,0,1
6,15592531,7,0.0,2,1,1,0
7,15656148,4,115046.74,4,1,0,1
8,15792365,4,142051.07,2,0,1,0
9,15592389,2,134603.88,1,1,1,0
10,15767821,6,102016.72,2,0,0,0
11,15737173,3,0.0,2,1,0,0
12,15632264,10,0.0,2,1,0,0
13,15691483,5,0.0,2,0,0,0
14,15600882,7,0.0,2,1,1,0
15,15643966,3,143129.41,2,0,1,0
16,15737452,1,132602.88,1,1,0,1
17,15788218,9,0.0,2,1,1,0
18,15661507,6,0.0,1,0,0,0
19,15568982,6,0.0,2,1,1,0
20,15577657,8,0.0,2,1,1,0
21,15597945,8,0.0,2,1,0,0
22,15699309,4,0.0,1,1,0,1
23,15725737,3,0.0,2,0,1,0
24,15625047,5,0.0,1,1,1,0
25,15738191,3,0.0,2,0,1,0
26,15736816,2,136815.64,1,1,1,0
27,15700772,9,0.0,2,0,0,0
28,15728693,3,141349.43,1,1,1,0
29,15656300,0,59697.17,2,1,1,0
30,15589475,3,0.0,3,1,0,1
31,15706552,7,85311.7,1,0,1,0
32,15750181,9,110112.54,2,0,0,0
33,15659428,6,0.0,2,1,1,0
34,15732963,9,0.0,2,1,1,0
35,15794171,0,134264.04,1,1,0,1
36,15788448,3,145260.23,1,0,1,0
37,15729599,7,76548.6,1,0,1,0
38,15717426,7,0.0,1,1,1,0
39,15585768,6,70349.48,2,0,1,0
40,15619360,4,0.0,1,1,0,0
41,15738148,8,122522.32,1,0,0,1
42,15687946,2,117419.35,1,1,1,0
43,15755196,2,131394.56,1,0,0,1
44,15684171,5,155931.11,1,1,1,0
45,15754849,4,109421.13,2,1,1,0
46,15602280,9,112045.67,1,1,1,1
47,15771573,9,137843.8,1,1,1,1
48,15766205,2,103391.38,1,0,1,0
49,15771873,2,103769.22,2,1,0,0
50,15616550,10,116363.37,2,1,0,0
51,15768193,5,146050.97,2,0,0,0
52,15683553,5,0.0,2,0,0,0
53,15702298,8,125561.97,1,0,0,1
54,15569590,1,98495.72,1,1,0,1
55,15760861,1,125211.92,1,1,1,0
56,15630053,5,127864.4,1,1,0,0
57,15647091,0,75888.2,1,0,0,0
58,15623944,4,0.0,1,1,0,1
59,15804771,4,40685.92,1,1,1,0
60,15651280,5,136857.0,1,0,0,0
61,15773469,9,152328.88,2,0,0,0
62,15702014,1,56084.69,2,0,0,0
63,15751208,8,78707.16,1,1,1,0
64,15592461,4,109166.37,1,1,1,0
65,15789484,6,169831.46,2,1,1,0
66,15696061,1,101633.04,1,1,0,0
67,15641582,10,123180.01,2,1,1,0
68,15638424,5,150725.53,2,0,1,0
69,15755648,8,98373.26,1,1,0,0
70,15703793,2,133745.44,4,1,0,1
71,15620344,6,0.0,1,1,0,0
72,15812518,0,163607.18,1,0,1,0
73,15779052,5,157780.84,2,1,1,0
74,15770811,9,0.0,2,0,1,0
75,15780961,1,178718.19,2,1,0,0
76,15614049,8,0.0,2,1,1,0
77,15662085,9,0.0,1,1,1,0
78,15575185,5,77253.22,1,0,1,0
79,15803136,10,122189.66,2,1,0,0
80,15706021,1,96645.54,2,0,0,0
81,15663706,2,0.0,1,1,0,1
82,15641732,3,0.0,2,0,0,0
83,15701164,4,90307.62,1,1,1,0
84,15738751,4,0.0,2,1,0,0
85,15805254,10,0.0,2,1,1,0
86,15762418,3,121681.82,1,1,0,1
87,15625759,9,0.0,2,1,0,0
88,15622897,4,0.0,3,1,0,1
89,15767954,3,81623.67,2,1,1,0
90,15757535,5,0.0,3,1,1,1
91,15731511,7,118626.55,2,1,0,0
92,15809248,10,0.0,2,1,0,0
93,15640635,8,0.0,2,1,1,0
94,15676966,4,0.0,2,0,1,0
95,15699461,10,176273.95,1,0,1,0
96,15738721,9,102827.44,1,0,1,0
97,15693683,8,97086.4,2,1,1,0
98,15604348,8,0.0,2,0,0,0
99,15633059,9,0.0,2,0,0,0
100,15808582,6,0.0,1,1,1,0
101,15743192,6,0.0,2,0,0,0
102,15580146,9,82674.15,1,1,0,0
103,15776605,7,0.0,2,1,0,0
104,15804919,1,0.0,1,1,1,1
105,15613854,4,107073.27,2,1,1,1
106,15599195,1,88938.62,1,1,1,0
107,15812878,2,99806.85,1,0,1,0
108,15602312,5,150092.8,1,0,0,0
109,15744689,9,92833.89,1,1,0,1
110,15803526,3,90536.81,1,0,1,0
111,15665790,7,108055.1,2,1,0,0
112,15715951,2,100238.35,1,0,0,0
113,15591100,9,106190.55,1,0,1,0
114,15609618,9,154475.54,2,0,1,1
115,15675522,9,132351.29,2,1,1,0
116,15705512,6,167864.4,1,1,0,0
117,15698028,1,0.0,2,1,0,0
118,15661670,8,107818.63,1,1,0,1
119,15600781,4,185173.81,2,1,0,0
120,15682472,8,129433.34,2,0,0,0
121,15580203,6,120193.42,1,0,0,0
122,15690673,6,0.0,2,1,0,0
123,15760085,10,126384.42,1,1,1,0
124,15779659,3,0.0,1,0,0,0
125,15627360,9,152603.45,1,1,0,1
126,15671137,1,0.0,1,0,1,1
127,15782688,0,148507.24,1,1,0,1
128,15575492,7,0.0,2,1,0,0
129,15591607,9,101827.07,1,1,0,0
130,15740404,3,0.0,2,1,1,0
131,15718369,9,130862.43,1,1,1,0
132,15677871,9,122570.87,1,1,1,0
133,15642004,1,0.0,2,0,1,0
134,15712543,7,124828.46,2,1,1,0
135,15584518,5,144895.05,2,1,1,0
136,15802381,5,63663.93,1,0,1,0
137,15610156,2,133463.1,1,0,1,0
138,15594408,2,213146.2,1,1,0,1
139,15640905,1,129490.36,2,0,1,1
140,15698932,10,137452.09,1,1,0,0
141,15724944,7,0.0,2,1,1,0
142,15628145,5,125851.93,1,1,1,0
143,15713483,2,0.0,1,1,0,1
144,15612350,5,40915.55,1,1,0,1
145,15800703,5,113157.22,1,1,1,0
146,15705707,8,138296.94,2,1,0,0
147,15754105,5,106967.18,1,0,0,0
148,15703264,9,120681.63,1,1,0,0
149,15794413,0,0.0,2,0,1,0
150,15650237,7,0.0,2,1,0,0
151,15759618,9,0.0,1,1,0,1
152,15811589,8,0.0,2,1,0,0
153,15689044,2,127609.59,1,1,0,0
154,15709368,6,0.0,2,1,1,0
155,15679145,7,0.0,1,1,0,1
156,15655007,7,0.0,2,0,0,0
157,15623595,2,0.0,2,1,1,0
158,15589975,6,97259.25,1,0,1,0
159,15804017,4,123246.7,1,0,0,0
160,15692132,6,101060.25,1,0,1,0
161,15641122,2,0.0,2,1,0,0
162,15630910,7,108007.36,1,0,0,0
163,15680772,2,0.0,2,1,1,0
164,15658929,0,133702.89,1,1,0,1
165,15585388,9,125189.75,2,1,1,0
166,15724623,7,113034.22,1,1,0,1
167,15588537,9,109013.23,1,1,0,0
168,15574692,2,0.0,2,1,0,1
169,15611325,9,57929.81,2,0,0,0
170,15587562,4,130114.39,1,1,0,0
171,15613172,5,95826.49,2,1,0,0
172,15651022,10,129608.57,1,1,0,1
173,15586310,4,169462.09,1,1,0,0
174,15625524,5,0.0,2,1,1,0
