Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8GB;128GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;1339.69
Apple;Macbook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;898.94
HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;1.86kg;575.0
Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.7GHz;16GB;512GB SSD;AMD Radeon Pro 455;macOS;1.83kg;2537.45
Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 3.1GHz;8GB;256GB SSD;Intel Iris Plus Graphics 650;macOS;1.37kg;1803.6
Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;500GB HDD;AMD Radeon R5;Windows 10;2.1kg;400.0
Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.2GHz;16GB;256GB Flash Storage;Intel Iris Pro Graphics;Mac OS X;2.04kg;2139.97
Apple;Macbook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;1158.7
Asus;ZenBook UX430UN;Ultrabook;14.0;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce MX150;Windows 10;1.3kg;1495.0
Acer;Swift 3;Ultrabook;14.0;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;770.0
HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;No OS;1.86kg;393.9
HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.86kg;344.99
Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.8GHz;16GB;256GB SSD;AMD Radeon Pro 555;macOS;1.83kg;2439.97
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;498.9
Apple;"MacBook 12""";Ultrabook;12.0;IPS Panel Retina Display 2304x1440;Intel Core M m3 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;macOS;0.92kg;1262.4
Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;1518.55
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;745.0
Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.9GHz;16GB;512GB SSD;AMD Radeon Pro 560;macOS;1.83kg;2858.0
Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;No OS;2.2kg;499.0
Dell;XPS 13;Ultrabook;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD;Intel UHD Graphics 620;Windows 10;1.22kg;979.0
Asus;Vivobook E200HA;Netbook;11.6;1366x768;Intel Atom x5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;0.98kg;191.9
